,standard#0,standard#1,standard#2,standard#3,standard#4,biased#0,biased#1,biased#2,biased#3,biased#4,poor-performers#0,poor-performers#1,poor-performers#2,poor-performers#3,poor-performers#4
1,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
2,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
3,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
4,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
5,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
6,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
7,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
8,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
9,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
10,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
11,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
12,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
13,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
14,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
15,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
16,34,34,33,33,34,33,33,33,33,33,34,34,33,33,33
